route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks,log_star_ratings,log_ticks,log_avg_stars,log_length,log_grade,log_on_to_do_lists,sqrt_star_ratings,sqrt_ticks,sqrt_avg_stars,sqrt_length,sqrt_grade
Problem A,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203708/problem-a,1.6,-1,Boulder,V-easy,1,,37.306979999999996,-118.43701999999999,107203708,-1.0,17,4,0,30,1.2552725051033058,1.4913616938342726,0.4149733479708179,,0.0,0.0,4.123105625617661,5.477225575051661,1.2649110640673518,,0.0
Problem B,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203712/problem-b,1.6,-1,Boulder,V-easy,1,,37.306979999999996,-118.43701999999999,107203712,-1.0,17,4,0,28,1.2552725051033058,1.462397997898956,0.4149733479708179,,0.0,0.0,4.123105625617661,5.291502622129181,1.2649110640673518,,0.0
Tribal Wisdom,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032674/tribal-wisdom,2.0,-1,Boulder,V-easy R,1,20.0,37.30744,-118.43635,107032674,-0.75,1,2,0,4,0.30102999566398114,0.6989700043360187,0.47712125471966244,1.322219294733919,0.0969100130080564,0.0,1.0,2.0,1.4142135623730951,4.47213595499958,0.5
Downclimb,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593006/downclimb,2.0,-1,Boulder,V-easy,1,18.0,37.30744,-118.43635,108593006,-1.0,4,2,1,4,0.6989700043360187,0.6989700043360187,0.47712125471966244,1.2787536009528289,0.0,0.30102999566398114,2.0,2.0,1.4142135623730951,4.242640687119285,0.0
Quadraphenia,Morning Glory Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724224/quadraphenia,2.0,-1,Boulder,V-easy,1,25.0,37.30808,-118.43306000000001,109724224,-1.0,2,2,1,2,0.47712125471966244,0.47712125471966244,0.47712125471966244,1.414973347970818,0.0,0.30102999566398114,1.4142135623730951,1.4142135623730951,1.4142135623730951,5.0,0.0
Problem C,What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724323/problem-c,2.0,-1,Boulder,V-easy,1,12.0,37.30782,-118.43311000000001,109724323,-1.0,1,1,1,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.1139433523068367,0.0,0.30102999566398114,1.0,1.4142135623730951,1.4142135623730951,3.4641016151377544,0.0
Problem D,What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724415/problem-d,2.0,-1,Boulder,V-easy,1,12.0,37.30782,-118.43311000000001,109724415,-1.0,1,1,1,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.1139433523068367,0.0,0.30102999566398114,1.0,1.4142135623730951,1.4142135623730951,3.4641016151377544,0.0
Problem A,Outer Banks Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724456/problem-a,1.0,-1,Boulder,V-easy,1,10.0,37.30774,-118.43238000000001,109724456,-1.0,1,1,1,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.041392685158225,0.0,0.30102999566398114,1.0,1.4142135623730951,1.0,3.1622776601683795,0.0
Problem B,Leaning Tower Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724474/problem-b,1.0,-1,Boulder,V-easy,1,10.0,37.30769,-118.43245,109724474,-1.0,1,1,1,3,0.30102999566398114,0.6020599913279623,0.30102999566398114,1.041392685158225,0.0,0.30102999566398114,1.0,1.7320508075688772,1.0,3.1622776601683795,0.0
Problem B,Patina Slab > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724493/problem-b,1.0,-1,Boulder,V-easy,1,10.0,37.30754,-118.43258,109724493,-1.0,1,1,0,3,0.30102999566398114,0.6020599913279623,0.30102999566398114,1.041392685158225,0.0,0.0,1.0,1.7320508075688772,1.0,3.1622776601683795,0.0
Scales,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731502/scales,2.0,-1,Boulder,V-easy,1,,37.30749,-118.43253,109731502,-1.0,1,1,1,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,,0.0,0.30102999566398114,1.0,1.4142135623730951,1.4142135623730951,,0.0
The Eyes,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731518/the-eyes,3.0,-1,Boulder,V-easy,1,12.0,37.30749,-118.43253,109731518,-1.0,1,1,4,4,0.30102999566398114,0.6989700043360187,0.6020599913279623,1.1139433523068367,0.0,0.6989700043360187,1.0,2.0,1.7320508075688772,3.4641016151377544,0.0
Problem B,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731525/problem-b,2.0,-1,Boulder,V-easy,1,10.0,37.30749,-118.43253,109731525,-1.0,1,1,1,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.041392685158225,0.0,0.30102999566398114,1.0,1.4142135623730951,1.4142135623730951,3.1622776601683795,0.0
Lip Traverse,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731541/lip-traverse,2.0,-1,Boulder,V-easy,1,15.0,37.30749,-118.43253,109731541,-1.0,1,1,2,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.2041199826559246,0.0,0.47712125471966244,1.0,1.4142135623730951,1.4142135623730951,3.872983346207417,0.0
Norse Crack,Norse Boulder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538714/norse-crack,1.0,-1,Boulder,V-easy,1,10.0,37.30705,-118.43773999999999,108538714,-1.0,3,2,0,8,0.6020599913279623,0.9542425094393249,0.30102999566398114,1.041392685158225,0.0,0.0,1.7320508075688772,2.8284271247461903,1.0,3.1622776601683795,0.0
Problem A,Norse Boulder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112792995/problem-a,1.0,-1,Boulder,V-easy,1,8.0,37.30705,-118.43773999999999,112792995,-1.0,1,1,0,3,0.30102999566398114,0.6020599913279623,0.30102999566398114,0.9542425094393249,0.0,0.0,1.0,1.7320508075688772,1.0,2.8284271247461903,0.0
Galar,Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593116/galar,2.0,-1,Boulder,V-easy,1,16.0,37.307759999999995,-118.4374,108593116,-1.0,1,1,1,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.2304489213782739,0.0,0.30102999566398114,1.0,1.4142135623730951,1.4142135623730951,4.0,0.0
Problem C,Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593139/problem-c,1.0,-1,Boulder,V-easy PG13,1,20.0,37.307759999999995,-118.4374,108593139,-1.0,1,1,1,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.322219294733919,0.0,0.30102999566398114,1.0,1.4142135623730951,1.0,4.47213595499958,0.0
Goi,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620978/goi,2.0,-1,Boulder,V-easy,1,15.0,37.307159999999996,-118.43603999999999,108620978,-1.0,1,1,0,3,0.30102999566398114,0.6020599913279623,0.47712125471966244,1.2041199826559246,0.0,0.0,1.0,1.7320508075688772,1.4142135623730951,3.872983346207417,0.0
Frilla,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620984/frilla,1.0,-1,Boulder,V-easy,1,12.0,37.307159999999996,-118.43603999999999,108620984,-1.0,1,1,0,3,0.30102999566398114,0.6020599913279623,0.30102999566398114,1.1139433523068367,0.0,0.0,1.0,1.7320508075688772,1.0,3.4641016151377544,0.0
Problem B,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620995/problem-b,1.0,-1,Boulder,V-easy,1,12.0,37.307159999999996,-118.43603999999999,108620995,-1.0,1,1,0,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.1139433523068367,0.0,0.0,1.0,1.4142135623730951,1.0,3.4641016151377544,0.0
Everlasting Soul,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592991/everlasting-soul,2.0,-1,Boulder,V0- R,1,20.0,37.30744,-118.43635,108592991,-0.25,2,1,2,3,0.47712125471966244,0.6020599913279623,0.47712125471966244,1.322219294733919,0.24303804868629442,0.47712125471966244,1.4142135623730951,1.7320508075688772,1.4142135623730951,4.47213595499958,0.8660254037844386
Problem A,Leaning Tower Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724468/problem-a,1.0,-1,Boulder,V0-,1,10.0,37.30769,-118.43245,109724468,-0.25,1,1,2,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.041392685158225,0.24303804868629442,0.47712125471966244,1.0,1.4142135623730951,1.0,3.1622776601683795,0.8660254037844386
Problem A,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731467/problem-a,1.0,-1,Boulder,V0-,1,10.0,37.30749,-118.43253,109731467,-0.25,1,1,1,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.041392685158225,0.24303804868629442,0.30102999566398114,1.0,1.4142135623730951,1.0,3.1622776601683795,0.8660254037844386
Dermatitis,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731485/dermatitis,2.0,-1,Boulder,V0-,1,12.0,37.30749,-118.43253,109731485,-0.25,1,1,4,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.1139433523068367,0.24303804868629442,0.6989700043360187,1.0,1.4142135623730951,1.4142135623730951,3.4641016151377544,0.8660254037844386
Erik Bloody Axe,The Long Ship > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107530064/erik-bloody-axe,1.0,-1,Boulder,V0-,1,15.0,37.30703,-118.43756,107530064,-0.25,1,1,1,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.2041199826559246,0.24303804868629442,0.30102999566398114,1.0,1.4142135623730951,1.0,3.872983346207417,0.8660254037844386
Problem A,Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593124/problem-a,1.0,-1,Boulder,V0-,1,16.0,37.307759999999995,-118.4374,108593124,-0.25,1,1,0,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.2304489213782739,0.24303804868629442,0.0,1.0,1.4142135623730951,1.0,4.0,0.8660254037844386
Wicca Tower,Wicca Tower > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107530006/wicca-tower,2.0,-1,Boulder,V0-,1,20.0,37.3076,-118.43503,107530006,-0.25,5,2,2,6,0.7781512503836435,0.8450980400142567,0.47712125471966244,1.322219294733919,0.24303804868629442,0.47712125471966244,2.23606797749979,2.449489742783178,1.4142135623730951,4.47213595499958,0.8660254037844386
Sun Circle,Ice Flow > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620905/sun-circle,2.0,-1,Boulder,V0,1,18.0,37.307179999999995,-118.43633,108620905,0.0,1,1,1,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.2787536009528289,0.30102999566398114,0.30102999566398114,1.0,1.4142135623730951,1.4142135623730951,4.242640687119285,1.0
Mothers of Perpetual Indulgence,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724177/mothers-of-perpetual-indulgence,2.6,-1,Boulder,V0,1,12.0,37.30792,-118.43255,109724177,0.0,7,1,6,18,0.9030899869919434,1.2787536009528289,0.5563025007672872,1.1139433523068367,0.30102999566398114,0.8450980400142567,2.6457513110645907,4.242640687119285,1.61245154965971,3.4641016151377544,1.0
Erect,Morning Glory Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724237/erect,2.5,-1,Boulder,V0,1,15.0,37.30808,-118.43306000000001,109724237,0.0,2,2,2,4,0.47712125471966244,0.6989700043360187,0.5440680443502756,1.2041199826559246,0.30102999566398114,0.47712125471966244,1.4142135623730951,2.0,1.5811388300841898,3.872983346207417,1.0
Problem B,What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724315/problem-b,2.0,-1,Boulder,V0,1,,37.30782,-118.43311000000001,109724315,0.0,1,1,2,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,,0.30102999566398114,0.47712125471966244,1.0,1.4142135623730951,1.4142135623730951,,1.0
Problem A,Patina Slab > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724486/problem-a,2.0,-1,Boulder,V0,1,10.0,37.30754,-118.43258,109724486,0.0,1,1,2,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.041392685158225,0.30102999566398114,0.47712125471966244,1.0,1.4142135623730951,1.4142135623730951,3.1622776601683795,1.0
Psoriasis,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731479/psoriasis,2.0,-1,Boulder,V0,1,12.0,37.30749,-118.43253,109731479,0.0,1,1,3,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.1139433523068367,0.30102999566398114,0.6020599913279623,1.0,1.4142135623730951,1.4142135623730951,3.4641016151377544,1.0
Erik the Bolder,Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076668/erik-the-bolder,2.0,-1,Boulder,V0,1,8.0,37.3072,-118.43735,114076668,0.0,1,1,0,1,0.30102999566398114,0.30102999566398114,0.47712125471966244,0.9542425094393249,0.30102999566398114,0.0,1.0,1.0,1.4142135623730951,2.8284271247461903,1.0
The Vibe,Goblin Rock > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538917/the-vibe,1.8,-1,Boulder,V0,1,10.0,37.30758,-118.4365,108538917,0.0,6,1,0,13,0.8450980400142567,1.1461280356782377,0.44715803134221915,1.041392685158225,0.30102999566398114,0.0,2.449489742783178,3.605551275463989,1.3416407864998738,3.1622776601683795,1.0
Problem B,William The Vollman > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620964/problem-b,1.0,-1,Boulder,V0 PG13,1,20.0,37.30727,-118.4362,108620964,0.0,1,1,0,0,0.30102999566398114,0.0,0.30102999566398114,1.322219294733919,0.30102999566398114,0.0,1.0,0.0,1.0,4.47213595499958,1.0
Problem C,William The Vollman > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620969/problem-c,1.0,-1,Boulder,V0 PG13,1,20.0,37.30727,-118.4362,108620969,0.0,1,1,0,0,0.30102999566398114,0.0,0.30102999566398114,1.322219294733919,0.30102999566398114,0.0,1.0,0.0,1.0,4.47213595499958,1.0
Scoop,Wimmin Cave > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621085/scoop,3.0,-1,Boulder,V0,1,10.0,37.307109999999994,-118.43563,108621085,0.0,1,1,3,2,0.30102999566398114,0.47712125471966244,0.6020599913279623,1.041392685158225,0.30102999566398114,0.6020599913279623,1.0,1.4142135623730951,1.7320508075688772,3.1622776601683795,1.0
Jormungand,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032686/jormungand,2.7,-1,Boulder,V0+ R,1,20.0,37.30744,-118.43635,107032686,0.5,3,4,4,3,0.6020599913279623,0.6020599913279623,0.568201724066995,1.322219294733919,0.3979400086720376,0.6989700043360187,1.7320508075688772,1.7320508075688772,1.6431676725154984,4.47213595499958,1.224744871391589
Celtic Soul Rebel,Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076678/celtic-soul-rebel,2.0,-1,Boulder,V0+,1,9.0,37.3072,-118.43735,114076678,0.25,1,1,1,1,0.30102999566398114,0.30102999566398114,0.47712125471966244,1.0,0.3521825181113625,0.30102999566398114,1.0,1.0,1.4142135623730951,3.0,1.118033988749895
Antiquities of Cornwall,Slab Boulder > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538842/antiquities-of-cornwall,1.5,-1,Boulder,V0+,1,15.0,37.30753,-118.43633999999999,108538842,0.25,2,1,0,2,0.47712125471966244,0.47712125471966244,0.3979400086720376,1.2041199826559246,0.3521825181113625,0.0,1.4142135623730951,1.4142135623730951,1.224744871391589,3.872983346207417,1.118033988749895
Unnamed,Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114076685/unnamed,2.0,-1,Boulder,V0-1,1,8.0,37.3072,-118.43735,114076685,0.5,1,1,1,0,0.30102999566398114,0.0,0.47712125471966244,0.9542425094393249,0.3979400086720376,0.30102999566398114,1.0,0.0,1.4142135623730951,2.8284271247461903,1.224744871391589
Problem A,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620989/problem-a,2.0,-1,Boulder,V1-,1,12.0,37.307159999999996,-118.43603999999999,108620989,0.75,1,1,3,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.1139433523068367,0.4393326938302626,0.6020599913279623,1.0,1.4142135623730951,1.4142135623730951,3.4641016151377544,1.3228756555322954
Toxygene,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203693/toxygene,1.5,-1,Boulder,V1,1,,37.306979999999996,-118.43701999999999,107203693,1.0,18,8,1,19,1.2787536009528289,1.301029995663981,0.3979400086720376,,0.47712125471966244,0.30102999566398114,4.242640687119285,4.358898943540674,1.224744871391589,,1.4142135623730951
Blood Kin,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032693/blood-kin,3.6,-1,Boulder,V1,1,18.0,37.30744,-118.43635,107032693,1.0,15,6,40,20,1.2041199826559246,1.322219294733919,0.662757831681574,1.2787536009528289,0.47712125471966244,1.6127838567197355,3.872983346207417,4.47213595499958,1.8973665961010275,4.242640687119285,1.4142135623730951
Problem A,Golden Child Wall > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592923/problem-a,1.5,-1,Boulder,V1 PG13,1,16.0,37.30733,-118.4365,108592923,1.0,2,1,0,2,0.47712125471966244,0.47712125471966244,0.3979400086720376,1.2304489213782739,0.47712125471966244,0.0,1.4142135623730951,1.4142135623730951,1.224744871391589,4.0,1.4142135623730951
Frey,Odin's Cave > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620684/frey,1.0,-1,Boulder,V1 PG13,1,16.0,37.307359999999996,-118.43648,108620684,1.0,1,1,0,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.2304489213782739,0.47712125471966244,0.0,1.0,1.4142135623730951,1.0,4.0,1.4142135623730951
